,topic,marks_scored,questions_attempted,n,ef,interval
0,Matrices,9.0,11.0,2.0,1.3,6.0
1,Complex numbers,7.0,10.0,1.0,1.3,1.0
2,Further vectors,,,0.0,2.5,1.0
3,Further algebra and functions,11.0,10.0,1.0,1.3,1.0
4,Proof,,,0.0,2.5,1.0
5,Further calculus,,,0.0,2.5,1.0
6,Hypothesis testing,,,0.0,2.5,1.0
7,Poisson and binomial distributions,,,0.0,2.5,1.0
8,Chi squared tests,,,0.0,2.5,1.0
9,Discrete probability distributions,,,0.0,2.5,1.0
10,"Work, energy and power",,,0.0,2.5,1.0
11,Momentum and impulse,,,0.0,2.5,1.0
12,Elastic collisions in one dimension,,,0.0,2.5,1.0
13,Algorithms on graphs,,,0.0,2.5,1.0
14,Critical path analysis,,,0.0,2.5,1.0
15,Linear programming,,,0.0,2.5,1.0
16,Algorithms and graph theory,,,0.0,2.5,1.0
17,Hyperbolic functions,,,0.0,2.5,1.0
18,Differential equations,,,0.0,2.5,1.0
19,Polar coordinates,,,0.0,2.5,1.0
20,Geometric and negative binomial distributions,,,0.0,2.5,1.0
21,Probability generating functions,,,0.0,2.5,1.0
22,Central limit theorem,,,0.0,2.5,1.0
23,Elastic collisions in two dimensions,,,0.0,2.5,1.0
24,Elastic strings and springs and elastic energy,,,0.0,2.5,1.0
